time,state
0,1737413439.277138,r
1,1737413447.7084138,r
2,1737413454.5435688,r
3,1737413462.7129831,r
4,1737413470.750452,r
5,1737413478.9371462,r
6,1737413486.958126,r
7,1737413495.4764202,r
8,1737413503.3569238,r
9,1737413511.451906,r
10,1737413519.598182,o
11,1737413528.3423,t
12,1737413535.5483341,t
13,1737413543.933195,t
14,1737413553.03116,t
15,1737413561.7868428,t
16,1737413570.597813,t
17,1737413577.8078232,t
18,1737413586.252616,t
19,1737413594.413902,t
20,1737413602.2154849,s
21,1737413610.69605,s
22,1737413618.7897248,s
23,1737413627.511185,s
24,1737413635.530165,s
25,1737413646.599544,s
26,1737413651.308096,s
27,1737413661.0347168,s
28,1737413669.0614212,s
29,1737413676.74581,s
30,1737413685.9954329,s
